ID,Expediente Nº,Año,Localidad,Elementos
8615,4636,2010,COMODORO RIVADAVIA,"1 equipo de sonido, 100 sillas plasticas apilables, 20 mesas plastica"
8616,4600,2010,COMODORO RIVADAVIA,1 heladera c/freezer
8617,4598,2010,COMODORO RIVADAVIA,50 sillas plasticas apilables
8618,4655,2010,COMODORO RIVADAVIA,20 sillas plasticas
8619,4622,2010,COMODORO RIVADAVIA,1 equipo de sonido
8620,4215,2010,COMODORO RIVADAVIA,1 impresora
8621,4215,2010,COMODORO RIVADAVIA,1 horno microondas
8622,4663,2010,RADA TILLY,"1 cocina industrial, 1 horno pizzero"
8623,4618,2010,COMODORO RIVADAVIA,2 notebooks
8624,4633,2010,COMODORO RIVADAVIA,"1 freezer, 1 horno pastelero"
8625,4622,2010,COMODORO RIVADAVIA,1 fotocopiadora
8627,3369,2010,LOS ALTARES,"2 guitarras, 3 auriculares, 2 pie de mic."
8628,4476,2010,PTO MADRYN,"1 maquina de coser, 1 maquina overlock"
8629,2579,2010,PTO MADRYN,1 impresora
8630,2579,2010,PTO MADRYN,1 pc
8631,3878,2010,PTO MADRYN,1 amasadora
8633,2580,2010,Pto. Madryn,1 freezer - 2 maquinas de coser - 1 pc - 1 sistema operativo - 1 fotocopiadora - 1 impresora -
8660,2220,2010,COMODORO RIVADAVIA,2 caloramas
8663,2842,2010,COMODORO RIVADAVIA,"4 tv 29"""
8666,3514,2010,JOSE DE SAN MARTIN,1 IMPRESORA
8667,3514,2010,JOSE DE SAN MARTIN,1 TEL/FAX
8671,1959,2010,RAWSON,1 impresora laser
8672,1959,2010,RAWSON,5 PC
8673,3761,2010,TRELEW, 1 compuadora
8676,3791,2010,TRELEW,1 software Cicero
8681,3762,2010,TRELEW,"1 microscopio binocular, 1 coagulometro"
8682,3737,2010,TRELEW,1 Fax
8702,4614,2010,COMODORO RIVADAVIA,1 TV de 29
8703,4614,2010,COMODORO RIVADAVIA,"6 bibliotecas, 3 radiograbadores, 1 impresora multifuncion"
8704,4625,2010,COMODORO RIVADAVIA, 1 PC
8705,4594,2010,COMODORO RIVADAVIA,1 fotocopiadora
8706,3943,2010,COMODORO RIVADAVIA,1 PC
8707,4617,2010,COMODORO RIVADAVIA,1 fotocopiadora
8708,4622,2010,COMODORO RIVADAVIA, Vajilla varia
8709,2842,2010,COMODORO RIVADAVIA,2 TV 29
8710,4106,2010,COMODORO RIVADAVIA,1 PC
8711,4106,2010,COMODORO RIVADAVIA,1 impresora
8713,4602,2010,COMODORO RIVADAVIA,1 heladera con freezer
8714,4620,2010,COMODORO RIVADAVIA,1 equipo de sonido
8721,3616,2010,TRELEW,1 Notebook
8726,3641,2010,RAWSON,1 camara digital
8727,3641,2010,RAWSON,"1 TV 29"""
8728,3641,2010,RAWSON,1 DVD
8729,3641,2010,RAWSON,1 videoproyector
8730,1308,2010,RAWSON,1 minicomponente c/microfono
8731,1308,2010,RAWSON,1 freezer
8752,1686,2010,RAWSON,1 PC
8753,1686,2010,RAWSON,1 impresora
8761,2520,2010,ALTO RIO SENGUER,Utiles escolares
8764,3520,2010,YALA LAUBAT,1 freezer
8765,1382,2010,ESQUEL,1 equipo de sonido
8772,4437,2010,RAWSON,"1 picadora de carne, 1 batidora de mano, 1 multiprocesadora"
8778,2384,2010,TRELEW,100 sillas plasticas
8779,4654,2010,COMODORO RIVADAVIA,1 videoproyector
8780,4623,2010,COMODORO RIVADAVIA,1 videoproyector
8781,4636,2010,COMODORO RIVADAVIA,1 videoproyector
8782,3967,2010,ESQUEL,1 notebook
8783,3520,2010,YALA LAUBAT,1 PC
8785,3329,2010,ESQUEL,"1 minicomponente, 1 microfono"
8786,3329,2010,ESQUEL,1 DVD
8787,3329,2010,ESQUEL,2 colchonetas
8792,3714,2010,TRELEW,1 videoproyector
8801,2068,2010,TRELEW,1 impresora
8802,2068,2010,TRELEW,"2 PC,"
8803,4361,2010,PTO MADRYN,2 máquinas Perkins Braille
8830,1148,2010,EL MAITEN,5 PC
8831,1148,2010,EL MAITEN,1 Fax
8832,4362,2010,ESQUEL,1 maquina Baille
8835,4619,2010,COMODORO RIVADAVIA,1 horno de cerámica
8840,2522,2010,EL MAITEN,1 videoproyector
